"Backend Name","Backend Rate","V6 Function Name"
HEDISMY2020IETAOT,alp.age[18-200],measure.HEDIS_MY2020_IET
HEDISMY2020URI,alp.cln.enc.age[18-64],measure.HEDIS_MY2020_URI
HEDISMY2020TRCMB,alp.cln.nec,measure.HEDIS_MY2020_TRC
HEDISMY2021DSFA,alp.nec.age[65-200],"measure.HEDIS_MY2021_DSFE"
"HEDISHPC2020MentalIllnessFollowUp30Day",Default,"measure.HEDISHPC2020MentalIllnessFollowUp30Day"
HEDISMY2020FUM7,alp.age[6-17],measure.HEDIS_MY2020_FUM
HEDISMY2020FSPTKR,alp.cln.nec,measure.HEDIS_MY2020_FSP
HEDISMY2020IADIOPAL,alp,measure.HEDIS_MY2020_IAD
P4P2016DMA1c,Default,measure.P4P2016DMA1c
"HEDISPM2019MedManageAsthma50Percent5to11",Default,"measure.HEDISPM2019MedManageAsthma50Percent5to11"
Hedis2017MedRec,Default,measure.Hedis2017MedRec
HEDISMY2020IMAMEN,alp.nec,measure.HEDIS_MY2020_IMA
"HEDISHPNE2020CDCNephropathy",Default,"measure.HEDISHPNE2020CDCNephropathy"
HEDISMY2021FSPCHC,alp.clm,measure.HEDIS_MY2021_FSP
"HEDISPM2018PostpartumCare",Default,"measure.HEDISPM2018PostpartumCare"
"HEDISHPNE2018PsychosocialCare",Default,"measure.HEDISHPNE2018PsychosocialCare"
HEDISHPC2020PDSScreen,Default,"measure.HEDISHPC2020PDSScreen"
HEDISMY2020HFS,Default,measure.HEDIS_MY2020_HFS
"HEDISHPC2020ChildPrimaryCare7to11",Default,"measure.HEDISHPC2020ChildPrimaryCare7to11"
"HEDISHPNE2020TelehealthAdjDepressionPositiveFollo",Default,"measure.HEDISHPNE2020TelehealthAdjDepressionPositiveFollo"
HEDISHP2020MPTIP,Default,measure.HEDISHP2020MPTIP
HEDISMY2021DRRC,alp.cln.age[12-64],"measure.HEDIS_MY2021_DRRE"
