payerSource,payerMeasureName,arcadiaMeasureName,arcadiaMeasureRate
10206,FallRiskScreening-CCF,CMSACO2020CARE2,Default
10206,ControlHighBP-CCF,CMSACO2020HTN2,Default
10206,DepressionRemission12-18-CCF,CMSACO2020MH112to17,Default
10206,DepressionRemission18+-CCF,CMSACO2020MH118plus,Default
10206,DepressionScreening-CCF,CMSACO2020NIPREV12,Default
10206,StatinCardioDisease-CCF,CMSACO2020NIPREV13,Default
10206,ACODM>9-CCF,CMSACO2020NotPoorControlDM2,Default
10206,TobaccoIntervention-CCF,CMSACO2020PREV10Intervention,Default
10206,TobaccoScreening-CCF,CMSACO2020PREV10Screen,Default
10206,TobaccoScreen/Intervention-CCF,CMSACO2020PREV10ScreenIntervention,Default
10206,BreastCancerScreening-CCF,CMSACO2020PREV5,Default
10206,ColoCancerScreen-CCF,CMSACO2020PREV6,Default
10206,InfluenzaImmunization-CCF,CMSACO2020PREV7,Default
10000,FallRiskScreening-CCF,CMSACO2020CARE2,Default
10000,ControlHighBP-CCF,CMSACO2020HTN2,Default
10000,DepressionRemission12-18-CCF,CMSACO2020MH112to17,Default
10000,DepressionRemission18+-CCF,CMSACO2020MH118plus,Default
10000,DepressionScreening-CCF,CMSACO2020NIPREV12,Default
10000,StatinCardioDisease-CCF,CMSACO2020NIPREV13,Default
10000,ACODM>9-CCF,CMSACO2020NotPoorControlDM2,Default
10000,TobaccoIntervention-CCF,CMSACO2020PREV10Intervention,Default
10000,TobaccoScreening-CCF,CMSACO2020PREV10Screen,Default
10000,TobaccoScreen/Intervention-CCF,CMSACO2020PREV10ScreenIntervention,Default
10000,BreastCancerScreening-CCF,CMSACO2020PREV5,Default
10000,ColoCancerScreen-CCF,CMSACO2020PREV6,Default
10000,InfluenzaImmunization-CCF,CMSACO2020PREV7,Default
